Index,Anime
0,Gintama.
1,Made in Abyss
2,Haikyuu!! Second Season
3,Code Geass: Hangyaku no Lelouch R2
4,Clannad: After Story
5,Kaguya-hime no Monogatari
6,Koukaku Kidoutai 2.0
7,Fullmetal Alchemist: Brotherhood
8,One Punch Man
9,Nodame Cantabile: Finale - Mine to Kiyora no Saikai
10,Saint Seiya: Meiou Hades Meikai-hen
11,Lupin III: Part II
12,Saraiya Goyou
13,Noragami OVA
14,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai"
15,Kuroko no Basket 2nd Season NG-shuu
16,K-On!: Live House!
17,InuYasha Movie 3: Tenka Hadou no Ken
18,Hidamari Sketch x ☆☆☆ Specials
19,Haikyuu!! Movie 2: Shousha to Haisha
20,Gochuumon wa Usagi Desu ka??: Dear My Sister
21,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1
22,Gekkan Shoujo Nozaki-kun Specials
23,Detective Conan OVA 10: Kid in Trap Island
24,Bungou Stray Dogs: Dead Apple
25,Asagao to Kase-san.
26,K-On!
27,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season"
28,Digimon Adventure
29,"Doukyonin wa Hiza, Tokidoki, Atama no Ue."
30,Byousoku 5 Centimeter
31,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen
32,Toshokan Sensou: Kakumei no Tsubasa
33,Paradise Kiss
34,Manga de Wakaru! Fate/Grand Order
35,Lucky☆Star: Original na Visual to Animation
36,Heartcatch Precure!
37,Last Exile
38,Koukaku Kidoutai 2: Innocence
39,Shokugeki no Souma: Shin no Sara
40,Gundam Build Fighters
41,Ghost Hunt
42,Detective Conan Movie 23: The Fist of Blue Sapphire
43,Tentai Senshi Sunred
44,Shingeki no Kyojin OVA
45,Bleach
46,Wolf's Rain
47,91 Days
48,Akagami no Shirayuki-hime
49,Maria-sama ga Miteru 4th
50,Kubikiri Cycle: Aoiro Savant to Zaregototsukai
51,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!
52,Fate/Grand Order: Zettai Majuu Sensen Babylonia
53,Capeta
54,Break Blade 5: Shisen no Hate
55,Aggressive Retsuko (ONA) 2nd Season
56,Slayers Try
57,Seikai no Senki II
58,Charlotte
59,Junjou Romantica
60,Space☆Dandy
61,Karakai Jouzu no Takagi-san
62,Emiya-san Chi no Kyou no Gohan
63,Mobile Suit Gundam Wing: Endless Waltz Movie
64,Kyou kara Maou! 3rd Series
65,Jungle wa Itsumo Hare nochi Guu Deluxe
66,Hybrid Child
67,Hakuouki Movie 2: Shikon Soukyuu
68,Haikyuu!! Movie 1: Owari to Hajimari
69,Ginga Eiyuu Densetsu Gaiden (1999)
70,Douluo Dalu
71,Kokoro Connect
72,Sword Art Online: Alicization - War of Underworld
73,Mobile Suit Gundam 0080: War in the Pocket
74,Yuru Yuri♪♪
75,Gungrave
76,Saint☆Oniisan (Movie)
77,Goku Sayonara Zetsubou Sensei
78,Mahoujin Guruguru (2017)
79,Jungle wa Itsumo Hare nochi Guu
80,Hello World
81,Gochuumon wa Usagi Desu ka??
82,Kara no Kyoukai 2: Satsujin Kousatsu (Zen)
83,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi
84,Detective Conan Movie 12: Full Score of Fear
85,Detective Conan Movie 09: Strategy Above the Depths
86,Higashi no Eden
87,Jormungand
88,City Hunter 3
89,Break Blade 4: Sanka no Chi
90,The Everlasting Guilty Crown
91,Saint Seiya
92,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV)
93,Tasogare Otome x Amnesia
94,Wotaku ni Koi wa Muzukashii: Youth
95,Kimetsu no Yaiba
96,Danshi Koukousei no Nichijou Specials
97,Kuroshitsuji
98,Little Witch Academia
99,Overlord II
100,Colorful (Movie)
101,Baby Steps
102,InuYasha (TV)
103,Bishoujo Senshi Sailor Moon S
104,Love Live! School Idol Project 2nd Season
105,Musekinin Kanchou Tylor
106,Neko no Ongaeshi
107,Yuusha-Ou GaoGaiGar
108,Vampire Hunter D (2000)
109,Seitokai Yakuindomo Movie
110,Maria-sama ga Miteru 3rd
111,Magic Kaito
112,Hibike! Euphonium Movie 3: Chikai no Finale
113,Hataraku Maou-sama!
114,Detective Conan Movie 08: Time Travel of the Silver Sky
115,Detective Conan Movie 07: Crossroad in the Ancient Capital
116,Yuru Yuri Nachuyachumi!
117,Tokyo Ghoul
118,Working'!!
119,Top wo Nerae! Gunbuster
120,Uchouten Kazoku
121,Hoozuki no Reitetsu 2nd Season
122,Saiyuuki Gaiden
123,Planetarian: Hoshi no Hito
124,Mobile Suit Gundam Thunderbolt: December Sky
125,Magi: Sinbad no Bouken
126,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai
127,Eikoku Koi Monogatari Emma: Molders-hen
128,Zan Sayonara Zetsubou Sensei
129,Seto no Hanayome OVA
130,Saiyuuki Reload: Burial
131,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu
132,Seihou Bukyou Outlaw Star
133,Naruto
134,Gake no Ue no Ponyo
135,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen"
136,Fairy Tail
137,Magic Kaito 1412
138,Lupin III (2015)
139,Les Misérables: Shoujo Cosette
140,Initial D Third Stage
141,Hanasaku Iroha: Home Sweet Home
142,Hoozuki no Reitetsu OVA
143,Devilman: Crybaby
144,Carnival Phantasm
145,Mahou Shoujo Lyrical Nanoha: The Movie 1st
146,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari
147,Macross F
148,Coquelicot-zaka kara
149,Xiao Lu He Xiao Lan
150,Kuroko no Basket: Tip Off
151,Hidamari Sketch x ☆☆☆
152,Flanders no Inu (Movie)
153,Durarara!! Specials
154,Detective Conan Movie 02: The Fourteenth Target
155,Aoki Hagane no Arpeggio: Ars Nova Cadenza
156,Seitokai Yakuindomo* OVA
157,Kyoukai no Kanata Movie: I'll Be Here - Kako-hen - Yakusoku no Kizuna
158,Junjou Romantica OVA
159,Igano Kabamaru
160,IDOLiSH7
161,Ergo Proxy
162,Tennis no Ouji-sama
163,Sekaiichi Hatsukoi
164,Terra e... (TV)
165,Touhai Densetsu Akagi: Yami ni Maiorita Tensai
166,High☆Speed!: Free! Starting Days
167,Fairy Tail (2014)
168,There She Is!!
169,Tentai Senshi Sunred 2nd Season
170,Tanaka-kun wa Itsumo Kedaruge
171,Mobile Suit Zeta Gundam
172,Junjou Romantica 3
173,Bishoujo Senshi Sailor Moon: Sailor Stars
174,Hokuto no Ken
175,Non Non Biyori
176,Lupin III vs. Detective Conan: The Movie
177,Soul Eater
178,Kekkai Sensen & Beyond
179,Shirokuma Cafe
180,School Rumble
181,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2
182,Ginga Eiyuu Densetsu Gaiden
183,Date A Live II: Kurumi Star Festival
184,City Hunter
185,Boku no Hero Academia the Movie 2: Heroes:Rising
186,Hanasaku Iroha
187,Tong Ling Fei
188,xxxHOLiC Movie: Manatsu no Yoru no Yume
189,Shijou Saikyou no Deshi Kenichi OVA
190,Tiger & Bunny
191,Beelzebub
192,Yakitate!! Japan
193,Jormungand: Perfect Order
194,Plastic Memories
195,Macross F Movie 2: Sayonara no Tsubasa
196,Lupin III: Part 5
197,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku
198,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii
199,Macross
200,Yuru Yuri San☆Hai!
201,ef: A Tale of Memories.
202,Yagate Kimi ni Naru
203,Haibane Renmei
204,Jigoku Shoujo Futakomori
205,Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma
206,Takarajima
207,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken
208,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai
209,Kaleido Star
210,Grisaia no Meikyuu: Caprice no Mayu 0
211,Ookiku Furikabutte
212,Saiunkoku Monogatari
213,Gintama
214,Gintama: Dai Hanseikai
215,Full Metal Panic! The Second Raid
216,Detective Conan OVA 09: The Stranger in 10 Years...
217,Aria The Avvenire
218,Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness
219,Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal
220,Trigun: Badlands Rumble
221,Tennis no Ouji-sama: Zenkoku Taikai-hen
222,Drifters
223,SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi
224,Macross: Do You Remember Love?
225,Darker than Black: Kuro no Keiyakusha Gaiden
226,Azumanga Daioh
227,Usagi Drop Specials
228,Tekkon Kinkreet
229,Eyeshield 21
230,Hibike! Euphonium
231,Kami nomi zo Shiru Sekai II
232,Karigurashi no Arrietty
233,Nekomonogatari: Kuro
234,Serial Experiments Lain
235,Noragami Aragoto OVA
236,Kurenai no Buta
237,Kobato.
238,Hyouge Mono
239,Hikaru no Go: Hokuto Hai e no Michi
240,High Score Girl
241,Mobile Suit Gundam: Iron-Blooded Orphans
242,Little Witch Academia (TV)
243,Full Moon wo Sagashite
244,Ore Monogatari!!
245,Wotaku ni Koi wa Muzukashii
246,Mahou Shoujo Lyrical Nanoha A's
247,Magi: Sinbad no Bouken (TV)
248,Kimi to Boku. 2
249,Kamisama Hajimemashita OVA
250,Hanamonogatari
251,Love Live! The School Idol Movie
252,Log Horizon
253,Junjou Romantica 2
254,Free!: Eternal Summer - Kindan no All Hard!
255,Overlord
256,Higurashi no Naku Koro ni
257,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen
258,Golden Boy
259,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen
260,Zetsuen no Tempest
261,Tamako Love Story
262,Omae Umasou da na
263,Phantom: Requiem for the Phantom
264,Nurarihyon no Mago: Sennen Makyou
265,Carole & Tuesday
266,Kara no Kyoukai: Mirai Fukuin
267,Girls & Panzer: Saishuushou Part 1
268,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi
269,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture
270,Code Geass: Hangyaku no Lelouch I - Koudou
271,FLCL
272,Aria The OVA: Arietta
273,Aria The Origination: Sono Choppiri Himitsu no Basho ni...
274,Kanon (2006)
275,Yuri!!! on Ice
276,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen"
277,Wolf's Rain OVA
278,Sekaiichi Hatsukoi OVA
279,One Piece Film: Gold
280,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven
281,Boku no Hero Academia the Movie 1: Futari no Hero
282,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie
283,Touch
284,Tennis no Ouji-sama: Zenkoku Taikai-hen - Final
285,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai
286,School Rumble Ni Gakki
287,Quanzhi Gaoshou
288,Durarara!!x2 Ten
289,Saenai Heroine no Sodatekata Fine
290,One Piece Film: Strong World Episode 0
291,Mobile Suit Gundam: The Origin - Advent of the Red Comet
292,Major Movie: Yuujou no Winning Shot
293,Kindaichi Shounen no Jikenbo
294,IDOLiSH7 Vibrato
295,ef: A Tale of Melodies.
296,Kimi ni Todoke 2nd Season
297,Working!!!
298,Paprika
299,Durarara!!x2 Shou
300,Kokoro Connect: Michi Random
301,Mobile Suit Gundam: The 08th MS Team
302,Gekkan Shoujo Nozaki-kun
303,Ookiku Furikabutte: Natsu no Taikai-hen
304,Kokoro ga Sakebitagatterunda.
305,Hanada Shounen-shi
306,Fullmetal Alchemist: Brotherhood Specials
307,Akagami no Shirayuki-hime 2nd Season
308,Youjo Senki
309,Yahari Ore no Seishun Love Comedy wa Machigatteiru.
310,Tate no Yuusha no Nariagari
311,Toaru Kagaku no Railgun S
312,Kimi ni Todoke
313,Maison Ikkoku
314,Overlord III
315,Sen to Chihiro no Kamikakushi
316,Slayers Next
317,Saint Seiya: The Lost Canvas - Meiou Shinwa
318,Noragami
319,Kyou kara Ore wa!!
320,Juuni Kokuki
321,Osomatsu-san
322,Stand By Me Doraemon
323,Kamisama Hajimemashita
324,Ginga Nagareboshi Gin
325,Black Lagoon
326,Sakasama no Patema
327,ReLIFE
328,Kingdom
329,Detective Conan Movie 04: Captured in Her Eyes
330,Detective Conan Movie 03: The Last Wizard of the Century
331,Qiang Shen Ji
332,Kodomo no Omocha (TV)
333,Kara no Kyoukai 3: Tsuukaku Zanryuu
334,Eve no Jikan (Movie)
335,Dragon Ball
336,Dennou Coil
337,City Hunter 2
338,D.Gray-man
339,Tokyo Magnitude 8.0
340,Black Lagoon: Roberta's Blood Trail
341,Baby Steps 2nd Season
342,Tamayura: Sotsugyou Shashin Part 4 - Ashita
343,Saiunkoku Monogatari 2nd Season
344,Mirai Shounen Conan
345,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!
346,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3
347,Evangelion: 1.0 You Are (Not) Alone
348,Akatsuki no Yona
349,Sekaiichi Hatsukoi 2
350,Kobayashi-san Chi no Maid Dragon
351,Initial D Fifth Stage
352,Tsumiki no Ie
353,Koukyoushihen Eureka Seven
354,Eve no Jikan
355,Lovely★Complex
356,xxxHOLiC Shunmuki
357,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru
358,Glass no Kamen (2005)
359,Gin no Saji
360,Detective Conan Movie 20: The Darkest Nightmare
361,Akatsuki no Yona OVA
362,Mob Psycho 100 II
363,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA
364,Saint Seiya: Meiou Hades Juuni Kyuu-hen
365,Nanatsu no Taizai
366,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man
367,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru"
368,Kaichou wa Maid-sama!
369,Hidamari Sketch: Sae Hiro Sotsugyou-hen
370,Detective Conan Movie 05: Countdown to Heaven
371,Hikaru no Go
372,Hyouka
373,K-On!!
374,Mobile Suit Gundam 00 Second Season
375,Tensei shitara Slime Datta Ken
376,Code Geass: Hangyaku no Lelouch III - Oudou
377,Yowamushi Pedal: Grande Road
378,Saint Seiya: The Lost Canvas - Meiou Shinwa 2
379,Princess Tutu
380,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna
381,Made in Abyss Movie 1: Tabidachi no Yoake
382,Kuroko no Basket: Saikou no Present Desu
383,Summer Wars
384,Kill la Kill
385,Magi: The Labyrinth of Magic
386,Kaiba
387,Interstella5555: The 5tory of The 5ecret 5tar 5ystem
388,Code Geass: Fukkatsu no Lelouch
389,Kami nomi zo Shiru Sekai: Megami-hen
390,Initial D Second Stage
391,Hajime no Ippo: Boxer no Kobushi
392,Golden Kamuy 2nd Season
393,Detective Conan Movie 10: Requiem of the Detectives
394,Ashita no Joe
395,Yuusha-Ou GaoGaiGar Final
396,Tsukimonogatari
397,Kuroko no Basket Movie 4: Last Game
398,Koukaku Kidoutai: Stand Alone Complex - Solid State Society
399,Clannad
400,Zankyou no Terror
401,Gosick
402,Lupin III: Cagliostro no Shiro
403,Durarara!!x2 Ketsu
404,Detective Conan Movie 14: The Lost Ship in the Sky
405,Fate/stay night: Unlimited Blade Works Prologue
406,Diamond no Ace
